STATE ID,STATE,ElectRate 2024 ¢,ElectRate 2023 ¢,Regular,Mid-Grade,Premium,Diesel,Energy bill,Monthly Water Bill,Internet,Natural Gas,Phone Bill,Streaming
AL,Alabama,12.41,12.79, 3.27 , 3.68 , 4.07 , 3.85 , 147.75 , 30.00 , 35.00 , 81.00 , 114.00 , 44.75 
AK,Alaska,22.54,22.14, 4.37 , 4.59 , 4.84 , 3.95 , 133.89 , 68.00 , 50.00 , 164.00 , 114.00 , 39.75 
AS,American Samoa,29,, 3.60 ,,, 3.75 , 100.00 , 25.00 , 145.00 , 40.00 ,,
AZ,Arizona,13.16,12.65, 4.13 , 4.47 , 4.75 , 4.08 , 131.35 , 64.00 , 20.00 , 82.00 , 114.00 , 49.50 
AR,Arkansas,9.99,10.73, 3.23 , 3.61 , 4.00 , 3.73 , 123.69 , 26.00 , 30.00 , 65.00 , 114.00 , 45.50 
CA,California,19.9,19.39, 5.46 , 5.67 , 5.84 , 5.45 , 123.67 , 77.00 , 40.00 , 34.00 , 114.00 , 49.25 
CO,Colorado,12.28,12.75, 3.12 , 3.48 , 3.80 , 3.66 , 91.96 , 39.00 , 30.00 , 47.00 , 114.00 , 50.00 
CT,Connecticut,21.62,20.47, 3.53 , 4.04 , 4.43 , 4.22 , 156.21 , 69.00 , 38.00 , 107.00 , 114.00 , 48.50 
DE,Delaware,12.05,12.59, 3.47 , 3.97 , 4.24 , 4.00 , 118.85 , 46.00 , 30.00 , 80.00 , 114.00 , 47.00 
DC,DC,13.21,13.4, 3.74 , 4.30 , 4.70 , 4.37 , 130.40 , 33.00 , 30.00 , 105.00 , 114.00 , 46.00 
FL,Florida,11.37,12.02, 3.64 , 4.05 , 4.36 , 3.95 , 134.11 , 28.00 , 30.00 , 118.00 , 45.00 , 50.75 
GA,Georgia,12.26,12.53, 3.43 , 3.87 , 4.25 , 4.00 , 177.78 , 64.00 , 45.00 , 122.00 , 114.00 , 40.75 
GU,Guam,41.6,, 5.29 , 6.19 , 6.39 , 6.61 , 194.00 , 120.00 , 75.00 , 135.00 ,,
HI,Hawaii,32.76,30.45, 4.78 , 4.98 , 5.24 , 5.57 , 97.62 , 38.00 , 30.00 , 40.00 , 114.00 , 48.25 
ID,Idaho,10.58,11.42, 3.93 , 4.15 , 4.40 , 4.04 , 95.86 , 26.00 , 30.00 , 97.00 , 114.00 , 49.50 
IL,Illinois,12.56,12.95, 3.97 , 4.47 , 4.90 , 4.13 , 126.51 , 30.00 , 30.00 , 122.00 , 114.00 , 47.00 
IN,Indiana,12.02,12.05, 3.57 , 4.07 , 4.53 , 4.07 , 109.63 , 32.00 , 50.00 , 73.00 , 114.00 , 45.25 
